"Einkaufszentrum","kauppakeskus | kauppakeskuksen | kauppakeskusta | kauppakeskuksia"
"Rathaus","kaupungintalo | kaupungintalon | kaupungintaloa | kaupungintaloja"
"Stadt","kaupunki | kaupungin | kaupunkia | kaupunkeja"
"spazieren | spazierengehen","kävellä | kävelen | kävelin | kävellyt [3]"
"gehen | besuchen","käydä | käyn | kävin | käynyt [2]"
"einkaufen gehen","käydä kaupassa"
"Küche","keittiö | keittiön | keittiötä | keittiöitä"
"Uhr","kello | kellon | kelloa | kelloja"
"gelb","keltainen | keltaisen | keltaista | keltaisia"
"einmal","kerran"
"Mal","kerta | kerran | kertaa | kertoja"
"erzählen","kertoa | kerron | kerroin | kertonut [1]"
"Sommer","kesä | kesän | kesää | kesiä"
"Juni","kesäkuu | kesäkuun | kesäkuuta | kesäkuita"
"mitten","keskellä | keskeltä | keskelle [Gen + ~]"
"mitten [Präp]","kesken [Gen + ~]"
"mittel [Präfix]","keski"
"Mittwoch","keskiviikko | keskiviikon | keskiviikkoa"
"wer [Pl.]","ketkä"
"Frühling","kevät | kevään | kevättä | keväitä"
"Sprache","kieli | kielen | kieltä | kieliä"
"danke","kiitos"
"Kilo","kilo | kilon | kiloa | kiloja"
"Bibliothek","kirjasto | kirjaston | kistjastoa | kirjastoja"
"schreiben","kirjoittaa | kirjoitan | kirjoitin | kirjoittanut [1]"
"nett | schön","kiva | kivan | kivaa | kivoja | mukava | mukavan | mukavaa | mukavia"
"hoch","korkea | korkean | korkeaa | korkeita"
"weil | wann","koska"
"Heim | Zuhause","koti | kodin | kotia | koteja"
"Schüler","koululainen | koululaisen | koululaista | koululaisia"
"sehr","kovasti"
"als | wie [Adv, comp.]","kuin"
"wer","kuka | kenen | ketä"
"gehen | fahren","kulkea | kuljen | kuljin | kulkenut [1]"
"als","kun"
"Mond | Monat","kuu | kuun | kuuta | kuita"
"Monat","kuukausi | kuukauden | kuukautta | kuukausia"
"heiß","kuuma | kuuman | kuumaa | kuumia"
"hören","kuunnella | kuuntelen | kuuntelin | kuunnellut"
"ja | doch","kyllä"
"kalt","kylmä | kylmän | kylmää | kylmiä"
"baden","kylpeä | kylven | kylvin | kylpenyt [1]"
"Stift","kynä | kynän | kynää | kyniä"
"Frage","kyskymys | kyskymyksen | kyskymystä | kyskymyksiä"
"fragen","kysyä | kysyn | kysyin | kysynyt [1]"
"Arzt","lääkäri | lääkärin | lääkäriä | lääkärejä"
"in der Nähe","lähellä | läheltä | lähelle [Gen + ~]"
"legen | stellen","laittaa | laitan | laitoin | laittanut [1]"
"Essen kochen","laittaa ruokaa"
"warm","lämmin | lämpimän | lämmintä | lämpimiä"
"Lampe","lamppu | lapmun | lamppua | lamppuja"
"Enkel","lapsenlapsi | lapsenlapsen | lapsenlasta | lapsenlapsia"
"Kind","lapsi | lapsen | lasta | lapsia"
"Glas","lasi | lasin | lasia | laseja"
"Samstag","lauantai | lauantain | lauantaita"
"Tasche","laukku | laukun | laukkua | laukkuja"
"Brot","leipä | leivän | leipää | leipiä"
"freundlich | lieb","lempeä | lempeän | lempeää | lempeita"
"Flugzeug","lentokone | lentokoneen | lentokonetta | lentokoneita"
"breit","leveä | leveän | leveää | leveitä"
"Fleisch","liha | lihan | lihaa | lihoja"
"dick","lihava | lihavan | lihavaa | lihavia"
"lila","liila | liilan | liilaa | liiloja"
"Busbahnhof","linja-autoasema | linja-autoaseman | linja-autoasemaa | linja-autoasemia"
"Liter","litra | litran | litraa | litroja"
"Oktober","lokakuu | lokakuun | lokakuuta | lokakuita"
"finden","löytää | löydän | löysin | löytänyt [1]"
"Schnee","lumi | lumen | lunta | lumia"
"Löffel","lusikka | lusikan | lusikkaa | lusikoita"
