"Regenschirm","sateenvarjo | sateenvarjon | sateenvarjoa | sateenvarjoja"
"in die Sauna gehen | saunieren","saunoa | saunon | saunoin | saunonut"
"Schein [Geld]","seteli | setelin | seteliä | seteleitä"
"Sekretär","sihteeri | sihteerin | sihteeriä | sihteerejä"
"putzen","siivota | siivoan | siivosin | siivonnut [4]"
"[Instrument] spielen","soittaa | soitan | soitin | soittanut [1]"
"traurig","surullinen | surullisen | surullista | surullisia"
"tanzen ","tanssia | tanssin | tanssin | tanssinut [1]"
"Fernseher","televisio | television | televisiota | televisioita"
"Gesundheitszentrum","terveyskeskus | terveyskeskuksen | terveyskeskusta | terveyskeskuksia"
"Computer","tietokone | tietokoneen | tietokonetta | tietokoneita"
"Informatik","tietotekniikka | tietotekniikan | tietotekniikkaa | tietotekniikkoja"
"kennenlernen","tutustua | tutustun | tutustuin | tutustunut [~ + Ill]"
"dumm","tyhmä | tyhmän | tyhmää | tyhmiä"
"Arbeit","työ | työn | työtä | töitä"
"arbeitslos","työtön | työttömän | työtöntä | työttömiä"
"schwimmen","uida | uin | uin | uinut [2]"
"blond | hell","vaalea | vaalean | vaaleaa | vaaleita"
"photographieren","valokuvata | valokuvaan | valokuvaisin | valokuvannut [4]"
"Angestellter","virkailija | virkailijan | virkailijaa | virkailijoita"
"Estland","Viro | Viron | Viroa"
"Jahreszeit","vuodenaika | vuodenajan | vuodenaikaa | vuodenaikoja"
